sep=\t
Module Resource Usage Distribution Estimates
Generated at: Jul 06, 2024 19:00:53

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b4a0446cb7684fc0844a0dd181407e9b(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b4a0446cb7684fc0844a0dd181407e9b(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b4a0446cb7684fc0844a0dd181407e9b(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
    +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_b4a0446cb7684fc0844a0dd181407e9b(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
    +genblk7.wr2rd_addr_sync:efx_fifo_datasync_b4a0446cb7684fc0844a0dd181407e9b(STAGE=2,WIDTH=7)	       0(0)	       7(7)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_b4a0446cb7684fc0844a0dd181407e9b(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
     +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b4a0446cb7684fc0844a0dd181407e9b(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b4a0446cb7684fc0844a0dd181407e9b	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b4a0446cb7684fc0844a0dd181407e9b(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b4a0446cb7684fc0844a0dd181407e9b(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b4a0446cb7684fc0844a0dd181407e9b(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
 +udp_gmii_tx:udp_gmii_tx                                   	     29(29)	       0(0)	       0(0)	     37(37)	     0(0)	     0(0)	     0(0)	
 +edb_top_inst:edb_top                                      	   877(877)	     12(12)	   130(130)	 1166(1166)	     0(0)	 104(104)	     0(0)	
